request_id,user_id,request_date,request_type,requested_amount,desired_completion_date,allows_partial_payment,request_text,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_11,user_11,2025-05-03,travel,13110000,2025-06-12,false,"Does paying for the trip now leave enough for the rest of the month? I need to decide by 12 June 2025. I'm planning a family trip that costs IDR 13,110,000.",12510645,affordable_with_plan,full_payment,2025-05-03:13110000,2025-07-15,reduce_to:event_989:665950,"Reduce the weekend food delivery to IDR 665,950, then pay IDR 13,110,000 today. This leaves at least IDR 34,140,600 available."
request_12,user_12,2026-04-05,education,65164,2026-06-20,false,"The professional course costs ZAR 65,164. Can I pay for the course before enrolment closes?",65164,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use 3 installments of ZAR 22,590.19, starting 19 April 2026. This leaves at least ZAR 43,200 available."
request_13,user_13,2024-03-07,family_transfer,941.6,2024-05-15,true,Can I complete this family transfer and still keep my minimum balance? I want to send EUR 941.60 to my family.,433.4,affordable_later,wait,2024-05-15:941.60,2024-05-15,none,"Pay EUR 941.60 in full on 15 May 2024. Paying earlier would take the balance below the EUR 1,300 minimum."
request_14,user_14,2025-08-04,debt_repayment,5414.2,2025-10-04,true,"I'm planning an extra loan payment of EUR 5,414.20. I need to complete it by 4 October 2025. Would paying this much toward the loan leave enough for the rest of the month?",597.74,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 5,414.20 request. Although EUR 597.74 is available today, the full amount cannot be completed safely within 90 days."
request_15,user_15,2026-01-06,investment,3685,2026-02-01,false,"How much can I invest now without affecting essential payments? I need to decide by 1 February 2026. I have an opportunity to invest EUR 3,685.",83.05,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 February 2026. None of the available options keeps the EUR 1,200 minimum protected."
request_16,user_16,2023-08-12,housing,122500,2023-10-11,true,"The landlord has asked for a deposit of INR 122,500. Can I pay the rental deposit by the requested date?",122500,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"Pay INR 122,500 today. This leaves at least INR 122,400 available over the next 90 days."
request_17,user_17,2026-03-01,emergency_expense,274600,2026-05-04,false,"What is the most I can put toward this repair right now? The latest estimate for the repair is INR 274,600.",243849.58,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,"Use 3 installments of INR 95,194.67, starting 1 March 2026. This leaves at least INR 166,100 available."
request_18,user_18,2026-07-07,other,3246.1,2026-09-15,false,"The annual plan comes to EUR 3,246.10. I need to complete it by 15 September 2026. Can I take the membership and still keep my minimum balance intact?",462,affordable_later,wait,2026-09-15:3246.10,2026-09-15,none,"Pay EUR 3,246.10 in full on 15 September 2026. Paying earlier would take the balance below the EUR 1,400 minimum."
request_19,user_19,2024-09-04,purchase,39660,2024-10-04,true,"Can I buy the laptop now without making next month's bills tight? I need to decide by 4 October 2024. I've been quoted INR 39,660 for the laptop.",28820,affordable_with_plan,partial_payment,2024-09-04:28820|2024-09-15:10840,2024-09-15,none,"Pay INR 28,820 today and the remaining INR 10,840 on 15 September 2024. This completes the full request and keeps the INR 92,800 minimum protected."
request_20,user_20,2026-02-07,travel,303700,2026-02-22,false,"I can book the family trip for INR 303,700. Would it be safer to book the trip now or wait until more money comes in?",5400,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 February 2026. None of the available options keeps the INR 64,500 minimum protected."
request_21,user_21,2026-04-03,education,1574.4,2026-04-14,false,"Is it safe to cover the full course fee by the deadline? Enrolment for the course comes to USD 1,574.40.",1543.35,affordable_with_plan,full_payment,2026-04-03:1574.40,2026-04-15,stop:event_1815|reduce_to:event_1816:23.50,"Stop the online backup subscription and reduce the streaming subscription to USD 23.50, then pay USD 1,574.40 today. This leaves at least USD 1,800 available."
request_22,user_22,2024-12-05,family_transfer,731.5,2025-02-10,true,The transfer I have in mind is EUR 731.50. I need to complete it by 10 February 2025. Can I make the full transfer without falling short on my own bills?,475.46,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,none,"Use 3 installments of EUR 253.59, starting 8 December 2024. This leaves at least EUR 500 available."
request_23,user_23,2025-05-07,debt_repayment,38016,2025-07-15,false,"How much extra can I put toward the loan today? I need to decide by 15 July 2025. The additional loan payment would be ZAR 38,016.",9152,affordable_later,wait,2025-07-15:38016,2025-07-15,none,"Pay ZAR 38,016 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 27,000 minimum."
request_24,user_24,2026-01-04,investment,109600,2026-02-08,true,"I'm considering setting aside INR 109,600 for an investment. Would investing this amount leave my upcoming bills covered?",13420,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 109,600 request. Although INR 13,420 is available today, the full amount cannot be completed safely within 90 days."
request_25,user_25,2024-03-06,housing,60496000,2024-04-17,true,"Is the deposit affordable now, or do I need more time? I need IDR 60,496,000 for the rental deposit.",1425000,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 April 2024. None of the available options keeps the IDR 23,379,100 minimum protected."
