request_id,user_id,request_date,request_type,requested_amount,desired_completion_date,allows_partial_payment,request_text
request_39,user_39,2026-04-04,housing,208600,2026-06-15,false,"Can I cover this deposit without putting rent and regular bills at risk? I need to decide by 15 June 2026. I need INR 208,600 for the rental deposit."
request_40,user_40,2024-06-06,education,1290.3,2024-08-15,false,"The professional course costs EUR 1,290.30. How much of the course fee can I manage without cutting into essentials?"
request_41,user_41,2025-11-03,emergency_expense,38760000,2026-01-15,false,"The repair cannot wait. How much can I safely pay today? The repair bill comes to IDR 38,760,000."
request_42,user_42,2026-01-05,emergency_expense,52100,2026-03-15,false,"I need to cover an urgent repair of INR 52,100. I need to complete it by 15 March 2026. What is the most I can put toward this repair right now?"
request_43,user_43,2024-09-07,purchase,43339000,2024-11-15,false,"Laptop yang saya incar harganya IDR 43.339.000. Saya harus memutuskan sebelum 15 November 2024. Apakah saya bisa membelinya sekarang, atau sebaiknya menunggu?"
request_44,user_44,2025-02-04,education,95800,2025-04-15,false,"I need INR 95,800 for the course fee. Would paying the course fee now leave enough for my regular commitments?"
request_45,user_45,2026-07-06,purchase,21983000,2026-09-15,false,"How much of the laptop price can I safely cover today? The price of the laptop is IDR 21,983,000."
request_46,user_46,2024-12-03,debt_repayment,49450,2025-01-09,true,"I would like to repay an additional INR 49,450. I need to complete it by 9 January 2025. Is the full extra repayment safe, or should I pay a smaller amount?"
request_47,user_47,2025-05-05,emergency_expense,38114000,2025-06-19,false,"What is the most I can put toward this repair right now? I need to decide by 19 June 2025. I've received a repair quote for IDR 38,114,000."
request_48,user_48,2026-07-25,family_transfer,45700,2026-08-24,false,"I want to send INR 45,700 to my family. Can I complete this family transfer and still keep my minimum balance?"
request_49,user_49,2024-03-04,travel,34333000,2024-05-22,false,"How much can I safely put toward the booking today? I've found a travel option for IDR 34,333,000."
request_50,user_50,2025-08-06,travel,43900,2025-08-21,false,"The family trip will cost INR 43,900. I need to complete it by 21 August 2025. Would it be safer to book the trip now or wait until more money comes in?"
request_51,user_51,2026-01-03,investment,2191000,2026-02-28,true,"Is it safer to invest now, invest a smaller amount, or wait? I need to decide by 28 February 2026. The amount I would like to invest is IDR 2,191,000."
request_52,user_52,2024-06-05,emergency_expense,28870,2024-07-09,true,"The latest estimate for the repair is INR 28,870. What is the most I can put toward this repair right now?"
request_53,user_53,2025-11-07,purchase,1699.2,2026-01-20,false,"Is the laptop affordable right now, or should I wait? The laptop comes to USD 1,699.20."
request_54,user_54,2026-07-04,housing,121528,2026-08-21,false,"The move requires a ZAR 121,528 deposit. I need to complete it by 21 August 2026. Can I cover this deposit without putting rent and regular bills at risk?"
request_55,user_55,2026-06-08,family_transfer,218600,2026-08-22,false,"How much can I safely send to my family today? I need to decide by 22 August 2026. I want to send INR 218,600 to my family."
request_56,user_56,2025-02-03,purchase,881.56,2025-03-13,true,I've found a laptop for USD 881.56. Would paying for the laptop today leave enough for my regular expenses?
request_57,user_57,2026-04-05,education,61446,2026-06-15,false,"Can I pay for the course before enrolment closes? I'm considering a professional course priced at ZAR 61,446."
request_58,user_58,2024-12-07,debt_repayment,16226000,2025-01-25,false,"The additional loan payment would be IDR 16,226,000. I need to complete it by 25 January 2025. How much extra can I put toward the loan today?"
request_59,user_59,2025-05-04,investment,140600,2025-07-02,false,"Would investing this amount leave my upcoming bills covered? I need to decide by 2 July 2025. I'm considering setting aside INR 140,600 for an investment."
request_60,user_60,2026-01-06,housing,199.89,2026-03-04,true,"I need USD 199.89 for the rental deposit. Is the deposit affordable now, or do I need more time?"
request_61,user_61,2024-03-03,purchase,29062,2024-05-24,false,"Would paying for the laptop today leave enough for my regular expenses? I've been quoted ZAR 29,062 for the laptop."
request_62,user_62,2025-08-05,debt_repayment,404.23,2025-10-09,true,I have USD 404.23 in mind as an extra loan payment. I need to complete it by 9 October 2025. Can I make the extra loan payment now without affecting essential expenses?
request_63,user_63,2026-07-07,purchase,343900,2026-09-17,true,"Is the laptop affordable right now, or should I wait? I need to decide by 17 September 2026. I've found a laptop for INR 343,900."
request_64,user_64,2024-06-04,other,63700,2024-08-16,false,"I've been offered the annual membership for INR 63,700. Is the full membership fee affordable today, or should I wait?"
request_65,user_65,2025-11-06,other,54340,2025-11-25,true,"Can I pay for the annual membership now without affecting my regular expenses? The annual membership costs ZAR 54,340."
request_66,user_66,2026-04-03,emergency_expense,22200,2026-04-17,true,"The latest estimate for the repair is INR 22,200. I need to complete it by 17 April 2026. The repair cannot wait. How much can I safely pay today?"
request_67,user_67,2024-09-05,emergency_expense,2094,2024-11-15,false,"What is the most I can put toward this repair right now? I need to decide by 15 November 2024. The urgent repair will cost USD 2,094."
request_68,user_68,2025-02-07,debt_repayment,2091.6,2025-04-16,false,"The extra repayment I'm considering is USD 2,091.60. How much extra can I put toward the loan today?"
request_69,user_69,2026-01-04,investment,529.1,2026-01-14,false,Would investing this amount leave my upcoming bills covered? I want to put EUR 529.10 into an investment.
request_70,user_70,2024-12-06,other,243900,2025-02-15,false,"The full-year membership is INR 243,900. I need to complete it by 15 February 2025. Can I pay for the annual membership now without affecting my regular expenses?"
request_71,user_71,2025-05-03,housing,21451000,2025-05-28,false,"Can I pay the rental deposit by the requested date? I need to decide by 28 May 2025. I need to pay a IDR 21,451,000 rental deposit."
request_72,user_72,2026-07-05,family_transfer,11330,2026-07-14,false,"I'm planning to send my family ZAR 11,330. Can I make the full transfer without falling short on my own bills?"
request_73,user_73,2023-01-20,emergency_expense,71400,2023-02-13,false,"Can I cover the full repair now and still manage my essential expenses? The latest estimate for the repair is INR 71,400."
request_74,user_74,2025-08-04,debt_repayment,5010,2025-10-21,true,"I would like to repay an additional ZAR 5,010. I need to complete it by 21 October 2025. Would paying this much toward the loan leave enough for the rest of the month?"
request_75,user_75,2026-04-06,emergency_expense,28270,2026-06-12,false,"Should I pay for the repair in full, split the payment, or wait? I need to decide by 12 June 2026. I've received a repair quote for ZAR 28,270."
request_76,user_76,2024-06-03,other,4455.6,2024-07-30,false,"Renewing the membership would cost USD 4,455.60. How much can I safely pay toward the membership now?"
request_77,user_77,2025-11-05,housing,60700,2025-11-14,false,"How much of the rental deposit can I safely pay today? The rental deposit is INR 60,700."
request_78,user_78,2025-10-02,purchase,50200,2025-10-14,false,"The laptop I'm looking at is INR 50,200. I need to complete it by 14 October 2025. Is the laptop affordable right now, or should I wait?"
request_79,user_79,2024-09-04,purchase,2151.6,2024-11-01,true,"Can I buy the laptop now without making next month's bills tight? I need to decide by 1 November 2024. I'm considering a EUR 2,151.60 laptop."
request_80,user_80,2025-02-06,debt_repayment,217500,2025-02-21,false,"I'm considering paying an extra INR 217,500 off the loan. Can I clear this additional amount without putting upcoming bills at risk?"
request_81,user_81,2026-07-03,travel,2076,2026-07-14,false,"Does paying for the trip now leave enough for the rest of the month? I'm planning a family trip that costs USD 2,076."
request_82,user_82,2024-12-05,family_transfer,1405.2,2025-02-15,false,"I've been asked to transfer USD 1,405.20 to my family. I need to complete it by 15 February 2025. Can I make the full transfer without falling short on my own bills?"
request_83,user_83,2025-05-07,family_transfer,156200,2025-06-17,false,"Can I complete this family transfer and still keep my minimum balance? I need to decide by 17 June 2025. I want to send INR 156,200 to my family."
request_84,user_84,2026-04-04,education,95400,2026-06-15,false,"Enrolment for the course comes to INR 95,400. Would paying the course fee now leave enough for my regular commitments?"
request_85,user_85,2024-03-06,housing,19304000,2024-04-26,false,"Is the deposit affordable now, or do I need more time? I need to pay a IDR 19,304,000 rental deposit."
request_86,user_86,2025-08-03,travel,46300,2025-08-22,false,"The current quote for the trip is INR 46,300. I need to complete it by 22 August 2025. Does paying for the trip now leave enough for the rest of the month?"
request_87,user_87,2026-01-05,other,487900,2026-03-15,false,"Would committing to the membership leave enough for my upcoming bills? I need to decide by 15 March 2026. The membership fee is INR 487,900 for the year."
request_88,user_88,2024-06-07,housing,26092,2024-08-25,false,"I need ZAR 26,092 for the rental deposit. Would paying the full deposit leave enough for my other commitments?"
request_89,user_89,2025-11-04,other,13756000,2026-01-15,false,"Is the full membership fee affordable today, or should I wait? I'm considering a yearly membership for IDR 13,756,000."
request_90,user_90,2026-07-06,debt_repayment,2560,2026-09-23,true,"I have ZAR 2,560 in mind as an extra loan payment. I need to complete it by 23 September 2026. Can I clear this additional amount without putting upcoming bills at risk?"
request_91,user_91,2024-09-03,emergency_expense,1927.2,2024-11-15,false,"The repair cannot wait. How much can I safely pay today? I need to decide by 15 November 2024. I need to cover an urgent repair of EUR 1,927.20."
request_92,user_92,2025-02-05,education,34034,2025-02-14,false,"I'm considering a professional course priced at ZAR 34,034. Can I pay for the course before enrolment closes?"
request_93,user_93,2026-04-07,travel,1729.2,2026-04-14,false,"Can I book the family trip now and still cover my usual expenses? The current quote for the trip is USD 1,729.20."
request_94,user_94,2024-12-04,housing,572,2024-12-22,false,The deposit on the place comes to EUR 572. I need to complete it by 22 December 2024. Can I cover this deposit without putting rent and regular bills at risk?
request_95,user_95,2025-05-06,education,553000,2025-07-14,false,"How much of the course fee can I manage without cutting into essentials? I need to decide by 14 July 2025. I've been quoted INR 553,000 for the course."
request_96,user_96,2026-01-03,purchase,90200,2026-03-12,false,"I've been quoted INR 90,200 for the laptop. Would paying for the laptop today leave enough for my regular expenses?"
request_97,user_97,2024-03-05,housing,23496,2024-05-24,false,"How much of the rental deposit can I safely pay today? I've been asked to pay ZAR 23,496 as the rental deposit."
request_98,user_98,2025-08-07,travel,27148,2025-10-15,false,"I've found a travel option for ZAR 27,148. I need to complete it by 15 October 2025. Can I book the family trip now and still cover my usual expenses?"
request_99,user_99,2026-07-04,emergency_expense,18062,2026-07-14,false,"Would paying the repair bill today take me below the balance I need to keep? I need to decide by 14 July 2026. The repair I need is priced at ZAR 18,062."
request_100,user_100,2024-06-06,purchase,37114,2024-08-16,false,"I'm considering a ZAR 37,114 laptop. How much of the laptop price can I safely cover today?"
request_101,user_101,2025-11-03,investment,143500,2025-11-14,false,"Is it safer to invest now, invest a smaller amount, or wait? I'm considering setting aside INR 143,500 for an investment."
request_102,user_102,2026-04-05,purchase,1716,2026-06-12,false,"The laptop comes to EUR 1,716. I need to complete it by 12 June 2026. Can I make this purchase without dipping into the balance I want to keep?"
request_103,user_103,2024-09-07,travel,368300,2024-10-07,false,"Can I book the family trip now and still cover my usual expenses? I need to decide by 7 October 2024. The total trip cost is INR 368,300."
request_104,user_104,2025-02-04,purchase,17204,2025-04-15,false,"The laptop costs ZAR 17,204. Can I buy the laptop now without making next month's bills tight?"
request_105,user_105,2026-06-08,debt_repayment,53500,2026-06-14,false,"Can I clear this additional amount without putting upcoming bills at risk? I'm planning an extra loan payment of INR 53,500."
request_106,user_106,2024-12-03,education,2207.7,2025-02-15,false,"I'm considering a professional course priced at EUR 2,207.70. I need to complete it by 15 February 2025. Is it safe to cover the full course fee by the deadline?"
request_107,user_107,2025-05-05,housing,2534.4,2025-07-04,false,"How much of the rental deposit can I safely pay today? I need to decide by 4 July 2025. The landlord has asked for a deposit of EUR 2,534.40."
request_108,user_108,2026-07-07,education,55308,2026-07-26,false,"The course I want to take is ZAR 55,308. Should I pay for the course now, use installments, or wait?"
request_109,user_109,2024-03-04,family_transfer,1863.4,2024-05-26,false,"Would sending the money now leave enough for my upcoming expenses? The amount I want to send is EUR 1,863.40."
request_110,user_110,2025-08-06,family_transfer,22352,2025-10-11,false,"I've been asked to transfer ZAR 22,352 to my family. I need to complete it by 11 October 2025. How much can I safely send to my family today?"
request_111,user_111,2026-04-03,debt_repayment,16625000,2026-05-02,false,"Is the full extra repayment safe, or should I pay a smaller amount? I need to decide by 2 May 2026. I have IDR 16,625,000 in mind as an extra loan payment."
request_112,user_112,2024-06-05,family_transfer,271.7,2024-06-14,false,My family needs a transfer of EUR 271.70. Can I make the full transfer without falling short on my own bills?
request_113,user_113,2026-09-04,debt_repayment,36500,2026-10-19,true,"How much extra can I put toward the loan today? I want to put another INR 36,500 toward my loan."
request_114,user_114,2026-01-04,other,65300,2026-01-14,false,"The annual membership costs INR 65,300. I need to complete it by 14 January 2026. Is the full membership fee affordable today, or should I wait?"
request_115,user_115,2024-09-06,other,80500,2024-11-15,false,"Can I pay for the annual membership now without affecting my regular expenses? I need to decide by 15 November 2024. The membership fee is INR 80,500 for the year."
request_116,user_116,2025-02-03,family_transfer,241200,2025-04-16,false,"The amount I want to send is INR 241,200. Should I send the full amount, send part of it, or wait?"
request_117,user_117,2026-07-05,housing,880,2026-07-14,false,"El depósito de alquiler es de EUR 880. ¿Puedo pagarlo hoy sin poner en riesgo mis otros gastos, o debería esperar?"
request_118,user_118,2024-12-07,housing,738.1,2025-02-08,false,I've been asked to pay EUR 738.10 as the rental deposit. I need to complete it by 8 February 2025. Would paying the full deposit leave enough for my other commitments?
request_119,user_119,2025-05-04,education,203500,2025-07-17,false,"Would paying the course fee now leave enough for my regular commitments? I need to decide by 17 July 2025. Enrolment for the course comes to INR 203,500."
request_120,user_120,2026-04-06,investment,7714000,2026-04-14,false,"I have an opportunity to invest IDR 7,714,000. How much can I invest now without affecting essential payments?"
request_121,user_121,2024-03-03,debt_repayment,633.6,2024-03-14,false,"Is the full extra repayment safe, or should I pay a smaller amount? The additional loan payment would be USD 633.60."
request_122,user_122,2025-08-05,other,20558000,2025-10-02,false,"The membership fee is IDR 20,558,000 for the year. I need to complete it by 2 October 2025. Would committing to the membership leave enough for my upcoming bills?"
request_123,user_123,2026-01-07,investment,4076000,2026-03-28,true,"What portion can I invest today without going below my minimum balance? I need to decide by 28 March 2026. I'm thinking of investing IDR 4,076,000."
request_124,user_124,2024-06-04,other,3104.2,2024-08-20,false,"I'm considering a yearly membership for EUR 3,104.20. Is the full membership fee affordable today, or should I wait?"
request_125,user_125,2025-11-06,travel,6468,2025-11-14,false,"Would it be safer to book the trip now or wait until more money comes in? I can book the family trip for ZAR 6,468."
request_126,user_126,2026-07-03,emergency_expense,159600,2026-07-17,false,"I need to cover an urgent repair of INR 159,600. I need to complete it by 17 July 2026. The repair cannot wait. How much can I safely pay today?"
request_127,user_127,2024-09-05,family_transfer,23980,2024-10-18,true,"Can I make the full transfer without falling short on my own bills? I need to decide by 18 October 2024. The transfer I have in mind is ZAR 23,980."
request_128,user_128,2025-02-07,education,25168,2025-02-14,false,"I need ZAR 25,168 for the course fee. Should I pay for the course now, use installments, or wait?"
request_129,user_129,2026-04-04,education,2668.8,2026-06-18,false,"Would paying the course fee now leave enough for my regular commitments? The course I want to take is USD 2,668.80."
request_130,user_130,2024-12-06,family_transfer,1978.8,2025-02-15,false,"The amount I want to send is USD 1,978.80. I need to complete it by 15 February 2025. How much can I safely send to my family today?"
request_131,user_131,2025-05-03,education,1855.2,2025-07-08,true,"Is it safe to cover the full course fee by the deadline? I need to decide by 8 July 2025. The professional course costs USD 1,855.20."
request_132,user_132,2026-01-05,family_transfer,379.86,2026-02-25,true,I want to send USD 379.86 to my family. Can I make the full transfer without falling short on my own bills?
request_133,user_133,2024-03-07,purchase,15770000,2024-03-29,false,"Is the laptop affordable right now, or should I wait? I've found a laptop for IDR 15,770,000."
request_134,user_134,2025-08-04,purchase,21831000,2025-10-15,false,"The laptop I'm looking at is IDR 21,831,000. I need to complete it by 15 October 2025. Can I buy the laptop now without making next month's bills tight?"
request_135,user_135,2026-07-06,housing,304.8,2026-07-14,true,"Is the deposit affordable now, or do I need more time? I need to decide by 14 July 2026. The landlord has asked for a deposit of USD 304.80."
request_136,user_136,2024-06-03,education,560.4,2024-06-14,true,The course I want to take is USD 560.40. Is it safe to cover the full course fee by the deadline?
request_137,user_137,2025-11-05,purchase,80100,2026-01-15,false,"Can I make this purchase without dipping into the balance I want to keep? The laptop comes to INR 80,100."
request_138,user_138,2026-04-07,purchase,1256.94,2026-06-05,true,"I've been quoted EUR 1,256.94 for the laptop. I need to complete it by 5 June 2026. Is the laptop affordable right now, or should I wait?"
request_139,user_139,2024-09-04,housing,2316,2024-11-17,false,"Can I cover this deposit without putting rent and regular bills at risk? I need to decide by 17 November 2024. I've been asked to pay USD 2,316 as the rental deposit."
request_140,user_140,2025-02-06,emergency_expense,62832,2025-03-04,false,"I need to cover an urgent repair of ZAR 62,832. Should I pay for the repair in full, split the payment, or wait?"
request_141,user_141,2026-01-03,other,171600,2026-02-12,true,"How much can I safely pay toward the membership now? I've been offered the annual membership for INR 171,600."
request_142,user_142,2024-12-05,investment,1263.6,2025-02-04,true,"The amount I would like to invest is USD 1,263.60. I need to complete it by 4 February 2025. Can I make the full investment and still keep enough cash available?"
request_143,user_143,2025-05-07,emergency_expense,12584,2025-07-15,false,"Can I cover the full repair now and still manage my essential expenses? I need to decide by 15 July 2025. The latest estimate for the repair is ZAR 12,584."
request_144,user_144,2026-07-04,investment,233.34,2026-07-26,true,I'm thinking of investing USD 233.34. Would investing this amount leave my upcoming bills covered?
request_145,user_145,2024-03-06,travel,217400,2024-05-26,true,"Would it be safer to book the trip now or wait until more money comes in? The total trip cost is INR 217,400."
request_146,user_146,2025-08-03,housing,449400,2025-10-17,true,"I've been asked to pay INR 449,400 as the rental deposit. I need to complete it by 17 October 2025. Can I pay the rental deposit by the requested date?"
request_147,user_147,2026-04-05,travel,1129.7,2026-06-07,true,"Can I afford the full trip without putting upcoming bills at risk? I need to decide by 7 June 2026. I've found a travel option for EUR 1,129.70."
request_148,user_148,2024-06-07,purchase,22242,2024-08-18,true,"The laptop I'm looking at is ZAR 22,242. Is the laptop affordable right now, or should I wait?"
request_149,user_149,2025-11-04,travel,36652,2026-01-19,false,"How much can I safely put toward the booking today? The current quote for the trip is ZAR 36,652."
request_150,user_150,2026-01-06,education,496.1,2026-03-16,false,The course I want to take is EUR 496.10. I need to complete it by 16 March 2026. How much of the course fee can I manage without cutting into essentials?
request_151,user_151,2024-09-03,housing,26999000,2024-09-14,false,"Can I pay the rental deposit by the requested date? I need to decide by 14 September 2024. I need IDR 26,999,000 for the rental deposit."
request_152,user_152,2025-02-05,emergency_expense,13882,2025-04-13,false,"I've received a repair quote for ZAR 13,882. What is the most I can put toward this repair right now?"
request_153,user_153,2026-07-07,purchase,2830.8,2026-09-24,false,"Is the laptop affordable right now, or should I wait? The laptop costs USD 2,830.80."
request_154,user_154,2024-12-04,travel,1625.8,2025-02-14,false,"I've found a travel option for EUR 1,625.80. I need to complete it by 14 February 2025. How much can I safely put toward the booking today?"
request_155,user_155,2025-05-06,purchase,112500,2025-05-20,false,"How much of the laptop price can I safely cover today? I need to decide by 20 May 2025. The laptop I'm looking at is INR 112,500."
request_156,user_156,2026-04-03,education,43076,2026-06-15,false,"I need ZAR 43,076 for the course fee. Is it safe to cover the full course fee by the deadline?"
request_157,user_157,2024-03-05,investment,23503000,2024-05-15,true,"Can I make the full investment and still keep enough cash available? I'm considering setting aside IDR 23,503,000 for an investment."
request_158,user_158,2025-08-07,emergency_expense,242600,2025-10-02,false,"The urgent repair will cost INR 242,600. I need to complete it by 2 October 2025. Can I cover the full repair now and still manage my essential expenses?"
request_159,user_159,2026-01-04,investment,13398,2026-03-20,true,"Would investing this amount leave my upcoming bills covered? I need to decide by 20 March 2026. The investment I'm considering is ZAR 13,398."
request_160,user_160,2024-06-06,travel,1246.3,2024-08-20,true,"I can book the family trip for EUR 1,246.30. Would it be safer to book the trip now or wait until more money comes in?"
request_161,user_161,2025-11-03,debt_repayment,21204000,2026-01-15,false,"Is the full extra repayment safe, or should I pay a smaller amount? I'm planning an extra loan payment of IDR 21,204,000."
request_162,user_162,2026-07-05,other,83923000,2026-08-26,false,"I've been offered the annual membership for IDR 83,923,000. I need to complete it by 26 August 2026. Would committing to the membership leave enough for my upcoming bills?"
request_163,user_163,2024-09-07,other,19304000,2024-11-15,false,"Can I take the membership and still keep my minimum balance intact? I need to decide by 15 November 2024. The annual membership costs IDR 19,304,000."
request_164,user_164,2025-02-04,other,27018000,2025-04-15,false,"The membership fee is IDR 27,018,000 for the year. Is the full membership fee affordable today, or should I wait?"
request_165,user_165,2026-04-06,travel,80600,2026-04-21,true,"Would it be safer to book the trip now or wait until more money comes in? I'm planning a family trip that costs INR 80,600."
request_166,user_166,2024-12-03,other,2907.6,2025-02-05,false,"I'm considering a yearly membership for USD 2,907.60. I need to complete it by 5 February 2025. How much can I safely pay toward the membership now?"
request_167,user_167,2025-05-05,housing,43802,2025-05-31,false,"How much of the rental deposit can I safely pay today? I need to decide by 31 May 2025. I've been asked to pay ZAR 43,802 as the rental deposit."
request_168,user_168,2026-01-07,housing,49380,2026-03-16,true,"The rental deposit is INR 49,380. Would paying the full deposit leave enough for my other commitments?"
request_169,user_169,2024-03-04,education,41976,2024-05-16,false,"Would paying the course fee now leave enough for my regular commitments? I'm considering a professional course priced at ZAR 41,976."
request_170,user_170,2025-08-06,other,36936000,2025-10-04,false,"The annual membership costs IDR 36,936,000. I need to complete it by 4 October 2025. Can I pay for the annual membership now without affecting my regular expenses?"
request_171,user_171,2026-07-03,investment,1878.8,2026-09-10,false,"Is it safer to invest now, invest a smaller amount, or wait? I need to decide by 10 September 2026. I'm considering setting aside EUR 1,878.80 for an investment."
request_172,user_172,2024-06-05,education,10200,2024-07-15,true,"I've been quoted ZAR 10,200 for the course. Can I pay for the course before enrolment closes?"
request_173,user_173,2025-11-07,family_transfer,113000,2026-01-17,true,"Can I complete this family transfer and still keep my minimum balance? I've been asked to transfer INR 113,000 to my family."
request_174,user_174,2026-04-04,investment,1146.2,2026-06-07,false,"I want to put EUR 1,146.20 into an investment. I need to complete it by 7 June 2026. Would investing this amount leave my upcoming bills covered?"
request_175,user_175,2024-09-06,emergency_expense,2346.3,2024-10-01,false,"Should I pay for the repair in full, split the payment, or wait? I need to decide by 1 October 2024. I need to cover an urgent repair of EUR 2,346.30."
request_176,user_176,2025-02-03,travel,1239.7,2025-02-27,false,"The family trip will cost EUR 1,239.70. Does paying for the trip now leave enough for the rest of the month?"
request_177,user_177,2026-01-05,emergency_expense,1017.6,2026-01-25,false,"What is the most I can put toward this repair right now? I have an unexpected repair bill of USD 1,017.60."
request_178,user_178,2024-12-07,investment,2938.1,2025-02-12,false,"I'm considering setting aside EUR 2,938.10 for an investment. I need to complete it by 12 February 2025. What portion can I invest today without going below my minimum balance?"
request_179,user_179,2025-05-04,debt_repayment,41648000,2025-07-15,false,"Would paying this much toward the loan leave enough for the rest of the month? I need to decide by 15 July 2025. I would like to repay an additional IDR 41,648,000."
request_180,user_180,2026-07-06,debt_repayment,66500,2026-09-02,true,"The extra repayment I'm considering is INR 66,500. Can I clear this additional amount without putting upcoming bills at risk?"
request_181,user_181,2024-03-03,investment,5059.2,2024-04-07,false,"Is it safer to invest now, invest a smaller amount, or wait? I want to put USD 5,059.20 into an investment."
request_182,user_182,2025-08-05,debt_repayment,65714,2025-09-26,false,"I'm planning an extra loan payment of ZAR 65,714. I need to complete it by 26 September 2025. Can I make the extra loan payment now without affecting essential expenses?"
request_183,user_183,2026-04-07,emergency_expense,26866000,2026-06-18,false,"Can I cover the full repair now and still manage my essential expenses? I need to decide by 18 June 2026. The repair I need is priced at IDR 26,866,000."
request_184,user_184,2024-06-04,debt_repayment,251900,2024-07-30,false,"The additional loan payment would be INR 251,900. Would paying this much toward the loan leave enough for the rest of the month?"
request_185,user_185,2025-11-06,travel,1257.3,2026-01-15,true,"Would it be safer to book the trip now or wait until more money comes in? The booking comes to EUR 1,257.30."
request_186,user_186,2026-01-03,investment,26554,2026-03-15,false,"I'm thinking of investing ZAR 26,554. I need to complete it by 15 March 2026. Is it safer to invest now, invest a smaller amount, or wait?"
request_187,user_187,2024-09-05,other,187500,2024-11-15,true,"Would committing to the membership leave enough for my upcoming bills? I need to decide by 15 November 2024. I'm considering a yearly membership for INR 187,500."
request_188,user_188,2025-02-07,family_transfer,2464,2025-03-04,false,"I want to send EUR 2,464 to my family. Can I complete this family transfer and still keep my minimum balance?"
request_189,user_189,2026-07-04,debt_repayment,488.4,2026-08-14,true,Would paying this much toward the loan leave enough for the rest of the month? I'm planning an extra loan payment of EUR 488.40.
request_190,user_190,2024-12-06,purchase,2557.5,2025-02-15,true,"The laptop I'm looking at is EUR 2,557.50. I need to complete it by 15 February 2025. How much of the laptop price can I safely cover today?"
request_191,user_191,2025-05-03,investment,664.4,2025-07-17,false,"Is it safer to invest now, invest a smaller amount, or wait? I need to decide by 17 July 2025. The amount I would like to invest is EUR 664.40."
request_192,user_192,2026-04-05,education,2046,2026-05-11,false,"The course I want to take is USD 2,046. Can I pay for the course before enrolment closes?"
request_193,user_193,2024-03-07,other,1212.2,2024-05-28,false,"Can I take the membership and still keep my minimum balance intact? The annual plan comes to EUR 1,212.20."
request_194,user_194,2025-08-04,housing,132800,2025-10-23,false,"The move requires a INR 132,800 deposit. I need to complete it by 23 October 2025. Can I cover this deposit without putting rent and regular bills at risk?"
request_195,user_195,2026-01-06,purchase,1170.4,2026-03-11,true,"How much of the laptop price can I safely cover today? I need to decide by 11 March 2026. The laptop costs EUR 1,170.40."
request_196,user_196,2024-06-03,purchase,762.3,2024-07-05,false,I've found a laptop for EUR 762.30. Would paying for the laptop today leave enough for my regular expenses?
request_197,user_197,2025-11-05,family_transfer,50939000,2026-01-21,true,"Can I make the full transfer without falling short on my own bills? The transfer I have in mind is IDR 50,939,000."
request_198,user_198,2026-07-07,education,185800,2026-09-21,true,"I need INR 185,800 for the course fee. I need to complete it by 21 September 2026. Should I pay for the course now, use installments, or wait?"
request_199,user_199,2024-09-04,housing,23674000,2024-11-10,false,"Can I cover this deposit without putting rent and regular bills at risk? I need to decide by 10 November 2024. The deposit on the place comes to IDR 23,674,000."
